ID;nr_wyrobu;nazwa_wyrobu;ilosc_na_zmiane_ke
660;68125,00;EX DE Gold Bunny Balloon;8700
661;76265,10;EX DE Snowman Tin;11000
662;70709,10;Schneemann Metalldose;11000
663;922055,10;Z VP Schneemann M.Dose 70709;11000
664;921821,00;Z VP Lind.Nost.Runddose 70263-Etykieciarka;6840
665;76206,00;EX DE Lindor Nostalgia Tin-Etykieciarka;6840
666;70263,00;Lindor Nostalgie Runddose-Etykieciarka;6840
667;922422,00;Z VP IM LUFTBALLON 61253;8700
668;922548,00;Z VP GOLDH.SPIELEIMER 61415;7680
669;61253,00;Goldhase im Luftballon;8700
670;68188,00;EX FR Gold Bunny Kids Bucket;7680
671;61283,00;Lindor Rîhrchen FrÅhl.Mix;7800
672;68176,00;EX IT Gold Bunny Kids Bucket;7680
673;922443,00;Z VP SIMPLICITY GRöSSE 61263;7200
674;86464,00;PW Lindor wei·;6282
675;922444,00;Z VP GH HASEN ôHRCHEN 61265;7980
676;922461,00;Z VP G.HASE VERSTECKT 61273;7920
677;61279,00;Lindor Rîhrchen FrÅhl.Mix;8352
678;38036,00;EX FR Val./Spring Lindor Pillow;11760
679;922463,00;Z VP LINDOR ED RôHR.MIX 61277;7800
680;922570,20;Z VP Lindor XL Beutel Milch 10569-Bez wag;7980
681;10569,20;Lindor XL Beutel Milch-Bez wag;7980
682;61277,00;Lindor Edit Rîhrchen Mix;7800
683;84164,10;PW Lindorkugel rot AH-Wagi;8800
684;84154,10;PW Lindorkugel schwarz AH-Wagi;8800
685;80474,10;PW lindorkugeln wei· AH-Wagi;8800
686;49985,00;Lindor Beutel Stracciat.;6282
687;91739,10;Hello XXL Beutel;6282
688;86454,00;PW Lindor 70%;6282
689;87821,10;PW Lindorkugeln rot-Wagi;8800
690;87831,10;PW Lindorkugeln schwarz-Wagi;8800
691;80894,10;PW Lindorkugeln wei·-Wagi;8800
692;86094,10;PW Lindor 70%-Wagi;8800
693;80584,10;PW Lindorkugeln noisette-Wagi;8800
694;61545,00;HELLO Easter Gift;9424
695;68174,00;EX IT Gold Bunny Kids Suitcase;8400
696;922563,00;Z VP HELLO EAST.BEAU.BAG 61543;7266
697;91739,00;Hello XXL Beutel-Wagi;6282
698;922564,00;Z VP HELLO EAST.GIFT 61545;9424
699;13831,00;Lindor PrÑsent 70%;13632
700;13831,10;Lindor PrÑsent 70%;13632
701;68129,00;EX DE Simplicity Spring Greeting;7200
702;739014,00;Z VP EIER MISCHUNG 1 61181;9000
703;61285,00;Lindor Rîhrchen Milch;7800
704;922464,00;Z VP LINDOR RôHR.FR.MIX 61279;8352
705;739021,00;Z VP LINDOR EI MILCH 61581;9000
706;66581,00;Lindor-Ei Milch lose;336000
707;61035,00;Dunkle SpezialitÑten (14);10000
708;922280,00;Z VP Dunkle Spezial. 61035 (14);10000
709;68115,00;EX DE Dark SpezialitÑten (13);10000
710;42108,10;EX ID (Arab / GB) Hello Tin Heart;12180
711;22103,10;TT EX CH (DE, FR) Hello Heart;12230
712;22104,10;TT EX IT Hello Tin Heart;12230
713;22106,10;TT EX FR Hello Tin Heart;12230
714;22107,10;EX DE, FR Hello Tin Heart;12230
715;22108,10;EX UK Hello Tin Heart;12230
716;22901,10;Hello Herz (2x5);12230
717;22101,10;TT Hello, Herz;12230
718;42106,10;EX ES, PO Hello Tin;12230
719;921563,10;Z VP Hello Herz 22901;12230
720;48971,10;T&C Hello Herz;12230
721;90185,10;Hello Herz ratiopharm;12230
722;94471,10;Hello Herzdose;12230
723;921051,10;TT Z VP Hello Herz 22101;12230
724;921175,10;TT Z VP Hello Heart 22107;12230
725;921267,10;TT Z VP Hello Heart 22103;12230
726;42105,10;TT EX ZA Hello Tin Heart;12180
727;921723,00;Z VP LINDOR EIER WEISS 63341;9000
728;63341,00;Lindor Eier weiss C+C;9000
729;61419,00;Goldhase Spielkoffer;8400
730;36501,10;Lindor Herzdose;13700
731;36157,10;TT ôS Lindor Heart Dark;13700
732;36148,10;TT NE (SE,FI,DK) L.Heart Dark;13700
733;36144,10;TT NE (RUS,H)L.Heart Dark;13700
734;36128,10;EX UK Lindor Milk Heart;13700
735;36127,10;EX DE Lindor Milk Heart;13700
736;36124,10;TT NE (RUS,BULG)L. Heart;13700
737;36118,10;TT NE (SE,FI,DK)L. Heart;13700
738;36115,10;TT EX CA Lindor Heart;13700
739;36114,10;EX FR,NL Lindor Milk Heart;13700
740;35351,10;Lindor Dark 60% Blechherz;13700
741;66681,00;Nougat-Ei lose;336000
742;61273,00;Goldhase versteckt;7920
743;61571,00;Champ.-Trueffel-Ei C+C;9000
744;739022,00;Z VP NOUGAT EI 61681;9000
745;61263,00;Simplicity FrÅhligsgrÅ·e;7200
746;66551,00;Lindor-Ei 60% lose;336000
747;61417,00;Goldhase Malbuch;5704
748;921253,00;Z VP LINDOR KôCHER 68901;9000
749;68901,00;Lindor Kîch PlÅsch GH C+C;9000
750;8641,10;Lindor Beutel 1 kg gemischt;4550
751;922264,00;Z VP GH MINI NEST 60919;12320
752;61551,00;Lindor Eier 60% C+C;9000
753;738733,00;Z VP LINDOR EI 60% 61551;9000
754;82254,10;PW Lindor gemischt 1 KG;4550
755;8647,10;EX FR,DE,UK,NL Lindor Bag Ass;4550
756;61543,00;HELLO Easter Beauty Bag;7266
757;739087,00;Z VP CHAMP.TR.EI 61571;9000
758;61747,00;Bunter GH-Ostermix;6840
759;61685,00;Oster-Korb beige;7800
760;922538,00;Z VP HOCHF.GP FRöH LEH 10389;5816
761;922482,00;MARZIPAN EIER DD C+C 61309;9000
762;61649,00;Lindor Mix Eier Kîcher;7500
763;61677,00;Mini Kissen beige;9000
764;61309,00;Marzipan Eier DD C+C;9000
765;922536,00;Z VP HOCHF.GP FRöH LEH 10387;7254
766;61679,00;Mini Kissen tÅrkis;9000
767;921669,00;Z VP GH NEST/LINDOR 62051;10624
768;61639,00;Lindor Eier Kîcher;2100
769;61669,00;Kissen mittel beige;6800
770;61663,00;GH schîn verpackt beige;7200
771;61665,00;GH schîn verpackt tÅrkis;7200
772;61667,00;Kissen gro· tÅrkis;8784
773;922457,00;Z VP HOCHFEIN GP FRöHJ. 10413;7254
774;10413,00;Hochfein GP FJ 200g;7254
775;61749,00;Bunter GH-Ostermix Wei·;6840
776;922456,00;Z VP HOCHFEIN GP FRöHJ. 10409;5816
777;922455,00;Z VP HOCHFEIN GP FRöHJ. 10407;4683
778;10407,00;Hochfein GP FJ 500 g;4683
779;10409,00;Hochfein GP FJ 350 g;5816
780;61629,00;Doppelmilch Eier Display;75600
781;93127,00;Kissen von Herzen;11200
782;39557,00;EX DE Lindor Bag Caramel;6282
783;922321,00;Z VP Lindor M.Multip. 3+1 10185;27600
784;922321,10;Z VP Lindor M.Multi 3+1 10185;27600
785;922321,20;Z VP Lindor M.Multi 3+1 10185;27600
786;922443,50;Z VP SIMPLICITY GRöSSE 61263;7200
787;11751,00;Lindor It Bag Pad Box Erd.Sah.;11760
788;39569,00;EX DE Lindor Present Milk;9000
789;922818,00;Z VP MUTTER.PR.AUSMAL.10879;8550
790;10879,00;Muttert. Pral. Z Ausmalen;8550
791;71738,00;EX CA Calendar Lindor-KULECZARKA;7760
792;71743,00;EX CA Calendar Vancouver-KULECZARKA;7760
793;71742,00;EX CA Calendar Toronto-KULECZARKA;7760
794;71739,00;EX CA Calendar Montreal-KULECZARKA;7760
795;73305,00;Lindor Xmas Tasche Milch;11000
796;922815,00;Z VP HL.STR.C.MULTI 3+1 21321;27600
797;922816,00;Z VP HL CHR.N.MULTI 3+1 21331;27600
798;922813,00;Z VP HL COO&C MULTI 3+1 21301;27600
799;73317,00;Lindor Xmas Tasche Mschg;11000
800;72835,10;Teddy Kl. Adventskalender;11104
801;72835,60;Teddy Kl. Adventskalender-ETYKIECIARKA;11104
802;72835,70;Teddy Kl.Adventskalender-ETYKIECIARKA+KULECZARKA;7760
803;922505,10;Z VP Teddy Kl.Adv.Kal. 72835;11104
804;922505,60;Z VP Teddy Kl.Adv.Kal. 72835-ETYKIECIARKA;11104
805;922505,70;Z VP Teddy Kl.Adv.Kal. 72835-ETYKIECIARKA+KULECZARKA;7760
806;70497,00;Rose GoldstÅcke Kalender-KULECZARKA;7770
807;70497,60;Rose GoldstÅcke Kalender-ETYKIECIARKA;8400
808;70497,70;Rose GolstÅcke Kalender-ETYKIECIARKA+KULECZARKA;7770
809;71735,60;CA Calendar Mini Lindt Teddy-ETYKIECIARKA;11104
810;71735,70;CA Calendar Mini Lindt Teddy-ETYKIECIARKA+KULECZARKA;7760
811;921087,60;Z VP Fr. Fest Kal. 70551-ETYKIECIARKA;11000
812;921087,70;Z VP Fr. Fest Kal. 70551-ETYKIECIARKA+KULECZARKA;7000
813;921951,00;Z VP Rose Goldst. Kalen. 70497-KULECZARKA;7700
814;921951,60;Z VP Rose Goldst. Kalen. 70497-ETYKIECIARKA;8400
815;921951,70;Z VP Rose Goldst. Kalen. 704197-ETYKIECIARKA+KULECZARKA;7700
816;922651,00;Z VP LIN.XM.TASC.MISCH 73317;11000
817;71734,60;CA Calendar Children's-ETYKIECIARKA+Rentgen;11104
818;71734,70;CA Calendar Children's-ETYKIECIARKA+KULECZARKA;7760
819;922646,00;Z VP LIN.XM.TASCH.MILCH 73305;11000
820;10935,00;J.Li-Nostal .-D ROT;6000
821;10945,00;J.Li-Nostal.D.Blau;6000
822;922647,00;Z VP LIN.XMA WöRF.MILCH 73307;8800
823;922648,00;Z VP LIND.XM.WöRF.MISCH 73309;8800
824;73309,00;Lindor Xmas WÅrfel Mschg;8800
825;922644,00;Z VP LIND.XMAS PRé.MILCH 73299;9000
826;71734,80;CA Calendar Children's-ETYKIECIARKA+KULECZARKA+PODEST;7760
827;71735,80;CA Calendar Mini Lindt Teddy-ETYKIECIARKA+KULECZARKA+PODEST;7760
828;73313,00;Kaligrafie Xmas Pralines;8400
829;922702,00;Z VP KALLIGR.XMAS PRAL. 73313;8400
830;921086,10;Z VP GoldstÅcke Kal. 70541;8400
831;921086,60;Z VP GoldstÅcke Kal. 70541-ETYKIECIARKA;8400
832;921086,70;Z VP GoldstÅcke Kal. 70541-ETYKIECIARKA+KULECZARKA;7770
833;922645,00;Z VP LIND.XM.PRéS.MISCH. 73303;9000
834;72638,00;EX UK Lindor Adv.Calendar-KULECZARKA;7760
835;922643,00;Lindor Xmas Kissen Misch 73297;7980
836;72638,10;EX UK Lindor Adv.Calendar;11104
837;72638,90;EX UK Lindor Adv.Calendar-KULECZARKA+PODEST;7760
838;922642,00;Z VP LIND.XMAS KIS.MILCH 73295;7980
839;922639,60;Z VP TEDDY SCHLITTEN KAL 73287-Rentgen+ETYKIECIARKA;5200
840;70331,00;Hello Tannenbaum A. Kalender+RENTGEN;5000
841;70337,00;EX GE Hello Calendar Tree+RENTGEN;5000
842;921513,00;Z VP Hello Tannen Kal. 70331+RENTGEN;5000
843;78621,70;Weih.-Markt Kal.-ETYKIECIARKA+KULECZARKA;7000
844;920885,70;Z VP Weih.-Markt Kal. 78621-ETYKIECIARKA+KULECZARKA;7000
845;73287,11;;0
846;73287,60;Teddy Schlitten Kalender-Rentgen+etykieciarka;5200
847;76407,00;EX DE Teddy Adv. Calendar Sleigh-Rentgen;5200
848;76394,00;EX DE Calligraphy XS Pralines;8400
849;922609,00;Z VP HELLO KALENDER 73193-Rentgen;7000
850;73193,00;Hello Kalender-Rentgen;7000
851;10635,00;Lindor 60% Multipack;27600
852;922756,00;Z VP 60% Multi 3+1 10803;27600
853;10803,00;Lindor 60% Multip. 3+1;27600
854;922759,00;Z VP Lind C.Salz Mul 3+1 10795;27600
855;10795,00;Lindor Car.- Salz MP 3+1;27600
856;70557,70;EX GE Merry Christmas Calendar-ETYKIECIARKA+KULECZARKA;7000
857;70297,70;Mini Table Calender-ETYKIECIARKA+KULECZARKA;7000
858;73295,00;Lindor Xmas Kissen Milch;7980
859;78246,00;EX US PCW Calendar Living Room;6250
860;73195,00;HELLO Xmas Sharing Box;7700
861;71953,60;Netto MD AK mit Gutschein-Rentgen+etykieciarka;7700
862;922849,60;Z VP Netto MD AK M.Gutsch.-Rentgen+etykieciarka;7700
863;73277,00;Glamour kl.Geschenke;8250
864;920648,70;Z VP Mini Tisch Kalender W-Zauber-ETYKIECIARKA+KULECZARKA;7000
865;70291,70;Mini Tisch Kalender W-Zauber-ETYKIECIARKA+KULECZARKA;7000
866;72915,70;Mini Tisch Kal. Flocke-ETYKIECIARKA+KULECZARKA;7000
867;70831,70;Exxon Mobil Mini Tisch AK-ETYKIECIARKA+KULECZARKA;7000
868;78627,70;EX DE Xmas Market Calendar-ETYKIECIARKA+KULECZARKA;7000
869;72847,70;Mini Tisch Kal. Tanne-ETYKIECIARKA+KULECZARKA;7000
870;70551,70;Frohes Fest Adventskalender-ETYKIECIARKA+KULECZARKA;7000
871;71403,10;L-Nostalgie FVB;8640
872;921922,10;Z VP Lindor Nostalgie Kaffedose 70425;8640
873;70425,10;Lindor Nostalgie Kaffedose;8640
874;73275,00;Teddy kl. Geschenke;8640
875;76455,00;EX FR Bear Cal. XS Tree-rentgen;10780
876;76418,00;EX DE Lindor Xmas Cube Ass;8800
877;922631,00;Z VP Fio Kassette Mix 10707;7500
878;73865,00;Teddy Malbuch;5704
879;922736,00;Z VP Teddy Malbuch 73865;5704
880;73297,00;Lindor Xmas Kissen Mschg;7980
881;922657,00;Z VP Teddy PlÅschfigur 73329;8000
882;76434,00;EX DE Teddy Malbuch/Colour Book;5704
883;73307,00;Lindor Xmas WÅrfel Milch;8800
884;10707,00;Fioretto Kassette Mix;7500
885;70541,10;GoldstÅcke Adventskalender;8400
886;70541,60;GoldstÅcke Adventskalender-ETYKIECIARKA;8400
887;70541,70;GoldstÅcke Adventskalender-ETYKIECIARKA+KULECZARKA;7770
888;73299,00;Lindor Xmas PrÑsent Milch;9000
889;76409,00;EX DE Lindor XS Present Milk;9000
890;922633,00;Z VP TEDDY KL.GESCHENKE 73275;8640
891;922573,20;Z VP Lindor XL Beutel Dark Mix 10585;7980
892;76416,00;EX DE Lindor XS Bag Assorted;11000
893;76413,00;EX DE Lindor XS Cube Milk;8800
894;76454,00;EX DE,FR,IT,UK,NL Teddy Calendar;10780
895;74145,00;Teddy im Schlitten;6720
896;922615,00; Z VP Teddy im Schlitten 74145;6720
897;73303,00;Lindor Xmas PrÑsent Mschg;9000
898;10799,00;Lindor Car.Salz Multip.;27600
899;76475,00;EX CZ Kaufland Promo Cal.-Rentgen;7700
900;76476,00;EX PL Kaufland Promo Cal.-Rentgen;7700
901;76415,00;EX DE Lindor Xmas Pr.Ass.;9000
902;76463,00;EX ID Calendar Lindor-Rentgen;7075
903;70957,60;Weihnachtszauber T-AK EV-ETYKIECIARKA;11000
904;74049,00;Gru·k.Taler Gold Zapfen;12720
905;70955,60;Weihnachtsmarkt T-AK EV-ETYKIECIARKA;11000
906;72845,60;Mini Tisch Kal. Tanne EV-ETYKIECIARKA;11000
907;72909,60;Mini Tisch Kal. Flocke EV-ETYKIECIARKA;11000
908;73329,00;Teddy mit PlÅschfigur;8000
909;76425,00;EX SE,FI,DK,NO UK Lindor Calend.-Rentgen;7075
910;76465,30;EX UK Lindor Mini Adv.Calendar-2 MATRYCE (KULECZARKA);9000
911;74085,00;Gru·k.Taler Rot Classic;12720
912;74065,00;Gru·karte m.Taler Gold;12720
913;74103,00;Gru·karte m.Taler Silber;12720
914;74099,00;Gru·karte m.Taler Rot;12720
915;74109,00;Gru·k.Herz Modern XMAS;12720
916;74167,00;Edeka DIY Beutel;6000
917;922829,00;Z VP Edeka DIY Beutel 74167;6000
918;73469,00;Glamour Weihn.mann-MÅtze;6300
919;73927,00;Mini Tanne Mod. Xmas;10800
920;76412,00;EX DE Lidor Xmas Bag Milk;11000
921;73907,00;Santa 200 g vers.Bl.Ed.;7520
922;922650,00;Z VP Kalligr. Xmas Tanne 73315;8640
923;922640,00;Z VP Kalligr. Xmas Tasche 73289;7980
924;74165,10;Lindor AK gold EV 290 g;7075
925;10955,10;Lindor Kassette 70%;10068
926;74165,20;Lindor AK gold EV 290 g;5200
927;73289,00;Kalligrafie Xmas Tasche;7980
928;74115,00;Lindor Santa Gesch.Blau;9000
929;922641,00;Z VP Kallig. Xmas WÅrfel 73293;9400
930;73912,00;EX DE,FR IT,UK Teddy Calendar;10780
931;10957,10;Lindor Kassette Milch;10068
932;10959,00;Lindor Kassette Mischung-z maszyn•;10068
933;922610,00;Z VP HELLO Xmas Sharing Box 73195;7700
934;76414,00;EX DE Lindor XS Pillov Ass.;7980
935;74125,00;Lindor Santa Gesch.Wei·;9000
936;76403,00;EX DE Teddy Plush Boy&Girl;8000
937;73923,00;M-Kiss. Mod. Xmas 1;9000
938;73315,00;Kalligrafie Xmas Tanne;8640
939;73293,00;Kalligrafie Xmas WÅrfel;9400
940;76408,00;EX DE Lindor XS Pillow Milk;7980
941;73897,00;Kissenp. Black Edition;11760
942;922638,60;Z VP Kalend.Filz Edit. 73285-Rentgen+ETYKIECIARKA;4800
943;10955,00;Lindor Kassette 70%- z maszyn•;10068
944;10959,10;Lindor Kassette Mischung;10068
945;10957,00;Lindor Kassette Milch-z maszyn•;10068
946;73285,60;Kalender Filz Edition-Rentgen+ETYKIECIARKA;4800
947;73929,00;Mini Tisch Kal.Mod. Xmas;1000
948;922638,00;Z VP Kalend.Filz Edit. 73285-Rentgen;4800
949;73285,00;Kalender Filz Edition-Rentgen;4800
950;73895,00;Blister Taler Black Ed.;12720
951;73955,00;Grussk. Kgl. Black Edi. 1;9000
952;73957,00;Grussk. Kgl. Black Edi. 2;9000
953;76426,00;EX DE Hand Crafted Calendar-Rentgen;4800
954;93123,00;Champ-Flasche Viel GlÅck;9000
955;76404,00;EX DE Teddy /Plush Ears;7980
956;73333,00;Teddy mit PlÅschohren;7980
957;73893,10;AK XMAS Black Edition EV;8400
958;73893,20;AK XMAS Black Edition EV;6000
959;74113,00;Weihnachtspost Black Edi.;7500
960;39586,00;EX DE Lindor Festive Ass.;1000
961;39585,00;EX DE Lindor Festive Milk;1000
962;39587,00;EX DE Lindor Pillow 70%;1000
963;73915,00;XMAS-Box Black Edition;5500
964;70551,30;Frohes Fest Adventskalender-2 MATRYCE (KULECZARKA)+ETYKIECIARKA;8000
